, DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNOW DP INCHES,Unnamed: 6
89,12/29/2017,1.73,,1.48,r,0,
90,12/30/2017,1.58,,1.33,r,1,
91,12/31/2017,1.87,,1.62,r,1,
92,01/01/2018,1.83,,1.58,r,0,
93,01/02/2018,1.85,,1.6,r,1,
94,01/03/2018,1.81,,1.56,r,0,
95,01/04/2018,2.03,,1.78,r,0,
96,01/05/2018,1.73,,1.48,r,-0,
97,01/06/2018,1.42,,1.17,r,0,
98,01/07/2018,1.5,,1.25,r,1,
99,01/08/2018,1.24,,0.99,r,1,
100,01/09/2018,1.27,,1.02,r,0,
101,01/10/2018,1.41,,1.16,r,1,
102,01/11/2018,1.49,,1.24,r,0,
103,01/12/2018,1.2,,0.95,r,1,
104,01/13/2018,1.04,,0.79,r,1,
105,01/14/2018,1.06,,0.81,r,0,
106,01/15/2018,0.95,,0.7,r,1,
107,01/16/2018,1.21,,0.96,r,2,
108,01/17/2018,1.08,,0.83,r,1,
109,01/18/2018,0.86,,0.61,r,0,
110,01/19/2018,1.36,,1.11,r,3,
111,01/20/2018,1.38,,1.13,r,2,
112,01/21/2018,1.36,,1.11,r,--,
113,01/22/2018,2.03,,1.78,r,8,
114,01/23/2018,2.27,,2.02,r,7,
115,01/24/2018,2.32,,2.07,r,7,
116,01/25/2018,3.84,,3.59,r,17,
117,01/26/2018,4.4,,4.15,r,20,
118,01/27/2018,4.43,,4.18,r,19,
119,01/28/2018,4.47,,4.22,r,17,
120,01/29/2018,4.47,,4.22,r,14,
121,01/30/2018,4.45,,4.2,r,13,
122,01/31/2018,4.4,,4.15,r,12,
123,02/01/2018,4.36,,4.11,r,10,
124,02/02/2018,4.29,,4.04,r,9,
125,02/03/2018,4.23,,3.98,r,7,
126,02/04/2018,4.08,,3.83,r,6,
127,02/05/2018,3.99,,3.74,r,4,
128,02/06/2018,4.04,,3.79,r,4,
129,02/07/2018,3.99,,3.74,r,3,
130,02/08/2018,3.87,,3.62,r,2,
131,02/09/2018,3.86,,3.61,r,1,
132,02/10/2018,3.82,,3.57,r,1,
133,02/11/2018,4.51,,3.6,r,1,
134,02/12/2018,2.95,,3.5,r,1,
135,02/13/2018,2.86,,3.3,r,2,
136,02/14/2018,3.09,,3.25,r,1,
137,02/15/2018,3.62,,3.37,r,1,
138,02/16/2018,3.2,,3.42,r,1,
139,02/17/2018,3.76,,3.51,r,1,
140,02/18/2018,3.76,,3.51,r,1,
141,02/19/2018,4.8,,3.2,r,1,
142,02/20/2018,3.06,,2.81,r,2,
143,02/21/2018,2.82,,2.57,r,2,
144,02/22/2018,2.93,,2.68,r,1,
145,02/23/2018,3.32,,3.07,r,2,
146,02/24/2018,2.51,,2.26,r,2,
147,02/25/2018,2.5,,2.25,r,2,
148,02/26/2018,2.85,,2.6,r,4,
149,02/27/2018,3.33,,3.08,r,6,
150,02/28/2018,3.1,,2.85,r,4,
151,03/01/2018,3.69,,3.44,r,13,
152,03/02/2018,5.48,,5.23,r,25,
153,03/03/2018,5.88,,5.63,r,24,
154,03/04/2018,6.1,,5.85,r,24,
155,03/05/2018,6.26,,6.01,r,--,
156,03/06/2018,6.38,,6.13,r,18,
157,03/07/2018,6.23,,5.98,r,15,
158,03/08/2018,6.45,,6.2,r,--,
159,03/09/2018,6.58,,6.33,r,12,
160,03/10/2018,6.71,,6.46,r,13,
161,03/11/2018,6.94,,6.69,r,12,
162,03/12/2018,6.64,,6.39,r,11,
163,03/13/2018,6.45,,6.2,r,8,
164,03/14/2018,7.47,,7.22,r,15,
165,03/15/2018,8.32,,8.07,r,20,
166,03/16/2018,8.99,,8.74,r,24,
167,03/17/2018,9.58,,9.33,r,26,
168,03/18/2018,9.71,,9.46,r,24,
169,03/19/2018,9.78,,9.53,r,22,
170,03/20/2018,9.55,,9.3,r,18,
171,03/21/2018,10.24,,9.99,r,19,
172,03/22/2018,11.07,,10.82,r,17,
173,03/23/2018,14.04,,10.82,r,16,
174,03/24/2018,11.08,,10.83,r,19,
175,03/25/2018,10.69,,10.44,r,18,
176,03/26/2018,10.84,,10.59,r,17,
177,03/27/2018,10.95,,10.7,r,16,
178,03/28/2018,10.41,,10.16,r,14,
179,03/29/2018,9.83,,9.58,r,11,
180,03/30/2018,9.38,,9.13,r,10,
181,03/31/2018,8.92,,8.67,r,9,
182,04/01/2018,8.37,,8.12,r,8,
183,04/02/2018,7.52,,7.27,r,5,
184,04/03/2018,7.13,,6.88,r,3,
185,04/04/2018,6.36,,6.11,r,0,
186,04/05/2018,5.82,,5.57,r,-0,
187,04/06/2018,5.69,,5.44,r,1,
188,04/07/2018,5.29,,5.04,r,-0,
189,04/08/2018,4.25,,4.0,r,0,
190,04/09/2018,3.51,,3.26,r,0,
191,04/10/2018,2.44,,2.19,r,0,
192,04/11/2018,2.03,,1.78,r,-0,
193,04/12/2018,2.31,,2.06,r,4,
194,04/13/2018,2.39,,2.14,r,2,
195,04/14/2018,1.87,,1.62,r,0,
196,04/15/2018,0.89,,0.64,r,1,
197,04/16/2018,1.6,,1.35,r,8,
198,04/17/2018,1.73,,1.48,r,--,
199,04/18/2018,1.6,,1.35,r,2,
200,04/19/2018,1.68,,1.43,r,2,
201,04/20/2018,1.56,,1.31,r,1,
202,04/21/2018,0.88,,0.63,r,1,
203,04/22/2018,0.84,,0.59,r,0,
204,04/23/2018,0.83,,0.0,r,0,
205,04/24/2018,0.81,,0.0,r,-1,
206,04/25/2018,0.8,,0.0,r,0,
207,04/26/2018,0.76,,0.0,r,0,
208,04/27/2018,0.73,,0.0,r,0,
209,04/28/2018,0.82,,0.0,r,0,
210,04/29/2018,1.12,,0.0,r,1,
211,04/30/2018,1.02,,0.0,r,1,
212,05/01/2018,0.88,,0.0,r,1,
213,05/02/2018,0.85,,0.0,r,0,
214,05/03/2018,0.8,,0.0,r,0,
215,05/04/2018,0.76,,0.0,r,0,
216,05/05/2018,0.73,,0.0,r,0,
217,05/06/2018,0.71,,0.0,r,-0,
218,05/07/2018,0.69,,0.0,r,-0,
219,05/08/2018,0.65,,0.0,r,-0,
220,05/09/2018,0.63,,0.0,r,-0,
221,05/10/2018,0.62,,0.0,r,0,
222,05/11/2018,0.63,,0.0,r,-0,
223,05/12/2018,0.63,,0.0,r,0,
224,05/13/2018,0.65,,0.0,r,0,
225,05/14/2018,0.64,,0.0,r,0,
226,05/15/2018,0.63,,0.0,r,0,
227,05/16/2018,0.8,,0.0,r,-0,
228,05/17/2018,0.8,,0.0,r,-0,
229,05/18/2018,0.77,,0.0,r,-0,
230,05/19/2018,0.76,,0.0,r,-0,
231,05/20/2018,0.72,,0.0,r,-0,
232,05/21/2018,0.73,,0.0,r,0,
233,05/22/2018,0.73,,0.0,r,-0,
234,05/23/2018,0.79,,0.0,r,-0,
235,05/24/2018,0.77,,0.0,r,-0,
236,05/25/2018,0.69,,0.0,r,-0,
237,05/26/2018,0.82,,0.0,r,0,
238,05/27/2018,0.77,,0.0,r,-0,
239,05/28/2018,0.67,,0.0,r,-0,
240,05/29/2018,0.6,,0.0,r,-0,
241,05/30/2018,0.41,,0.0,r,0,
242,05/31/2018,0.44,,0.0,r,0,
243,06/01/2018,0.46,,0.0,r,-0,
244,06/02/2018,0.39,,0.0,r,-0,
245,06/03/2018,0.4,,0.0,r,-0,
246,06/04/2018,0.39,,0.0,r,0,
247,06/05/2018,0.41,,0.0,r,0,
248,06/06/2018,0.43,,0.0,r,0,
249,06/07/2018,0.41,,0.0,r,0,
250,06/08/2018,0.42,,0.0,r,-0,
251,06/09/2018,0.4,,0.0,r,-0,
252,06/10/2018,0.48,,0.0,r,1,
253,06/11/2018,0.41,,0.0,r,0,
254,06/12/2018,0.41,,0.0,r,-0,
255,06/13/2018,0.35,,0.0,r,-0,
256,06/14/2018,0.39,,0.0,r,0,
257,06/15/2018,0.26,,0.0,r,0,
258,06/16/2018,0.29,,0.0,r,-0,
259,06/17/2018,0.41,,0.0,r,-0,
260,06/18/2018,0.51,,0.0,r,-0,
261,06/19/2018,0.47,,0.0,r,0,
262,06/20/2018,0.38,,0.0,r,0,
263,06/21/2018,0.33,,0.0,r,-0,
264,06/22/2018,0.32,,0.0,r,-1,
265,06/23/2018,0.31,,0.0,r,-0,
266,06/24/2018,0.3,,0.0,r,-0,
267,06/25/2018,0.3,,0.0,r,-0,
268,06/26/2018,0.3,,0.0,r,0,
269,06/27/2018,0.3,,0.0,r,-0,
270,06/28/2018,0.3,,0.0,r,-0,
271,06/29/2018,0.2,,0.0,r,0,
272,06/30/2018,0.21,,0.0,r,-1,
273,07/01/2018,0.21,,0.0,r,-0,
274,07/02/2018,0.22,,0.0,r,-1,
275,07/03/2018,0.21,,0.0,r,0,
276,07/04/2018,0.23,,0.0,r,-0,
277,07/05/2018,0.17,,0.0,r,0,
278,07/06/2018,0.17,,0.0,r,-0,
279,07/07/2018,0.21,,0.0,r,-0,
280,07/08/2018,0.22,,0.0,r,0,
281,07/09/2018,0.15,,0.0,r,0,
282,07/10/2018,0.17,,0.0,r,-0,
283,07/11/2018,0.18,,0.0,r,-0,
284,07/12/2018,0.19,,0.0,r,-0,
285,07/13/2018,0.18,,0.0,r,-1,
286,07/14/2018,0.19,,0.0,r,-1,
287,07/15/2018,-0.04,,0.0,r,-1,
288,07/16/2018,0.02,,0.0,r,-0,
289,07/17/2018,0.04,,0.0,r,-0,
290,07/18/2018,0.05,,0.0,r,-0,
291,07/19/2018,0.11,,0.0,r,-0,
292,07/20/2018,0.11,,0.0,r,-1,
293,07/21/2018,0.12,,0.0,r,0,
294,07/22/2018,0.12,,0.0,r,-0,
295,07/23/2018,0.13,,0.0,r,-0,
296,07/24/2018,0.13,,0.0,r,-1,
297,07/25/2018,0.13,,0.0,r,-1,
298,07/26/2018,0.13,,0.0,r,-0,
299,07/27/2018,0.15,,0.0,r,-0,
300,07/28/2018,0.16,,0.0,r,-1,
301,07/29/2018,0.04,,0.0,r,-0,
302,07/30/2018,-0.04,,0.0,r,-1,
303,07/31/2018,-0.02,,0.0,r,-1,
304,08/01/2018,0.0,,0.0,r,-1,
305,08/02/2018,0.02,,0.0,r,-0,
306,08/03/2018,0.04,,0.0,r,-0,
307,08/04/2018,0.06,,0.0,r,-0,
308,08/05/2018,0.07,,0.0,r,-0,
309,08/06/2018,0.08,,0.0,r,-0,
310,08/07/2018,0.09,,0.0,r,-1,
311,08/08/2018,0.09,,0.0,r,-1,
312,08/09/2018,0.07,,0.0,r,-0,
313,08/10/2018,0.09,,0.0,r,-1,
314,08/11/2018,0.09,,0.0,r,-0,
315,08/12/2018,0.11,,0.0,r,-0,
316,08/13/2018,0.11,,0.0,r,-0,
317,08/14/2018,0.12,,0.0,r,-0,
318,08/15/2018,0.09,,0.0,r,-1,
319,08/16/2018,0.07,,0.0,r,-0,
320,08/17/2018,0.09,,0.0,r,-0,
321,08/18/2018,0.09,,0.0,r,-0,
322,08/19/2018,0.09,,0.0,r,-0,
323,08/20/2018,0.08,,0.0,r,-0,
324,08/21/2018,0.09,,0.0,r,-1,
325,08/22/2018,0.05,,0.0,r,-1,
326,08/23/2018,0.08,,0.0,r,0,
327,08/24/2018,0.1,,0.0,r,-0,
328,08/25/2018,0.12,,0.0,r,-0,
329,08/26/2018,0.13,,0.0,r,-0,
330,08/27/2018,-0.06,,0.0,r,0,
331,08/28/2018,-0.05,,0.0,r,-1,
332,08/29/2018,-0.04,,0.0,r,-0,
333,08/30/2018,-0.02,,0.0,r,-0,
334,08/31/2018,-0.02,,0.0,r,-0,
335,09/01/2018,0.01,,0.0,r,-1,
336,09/02/2018,0.0,,0.0,r,-1,
337,09/03/2018,0.0,,0.0,r,-0,
338,09/04/2018,0.01,,0.0,r,-0,
339,09/05/2018,0.02,,0.0,r,-0,
340,09/06/2018,0.02,,0.0,r,-0,
341,09/07/2018,0.04,,0.0,r,0,
342,09/08/2018,0.04,,0.0,r,-0,
343,09/09/2018,0.04,,0.0,r,0,
344,09/10/2018,0.05,,0.0,r,-0,
345,09/11/2018,0.05,,0.0,r,-1,
346,09/12/2018,0.06,,0.0,r,-0,
347,09/13/2018,0.09,,0.0,r,0,
348,09/14/2018,0.11,,0.0,r,0,
349,09/15/2018,0.11,,0.0,r,0,
350,09/16/2018,0.12,,0.0,r,-0,
351,09/17/2018,0.13,,0.0,r,0,
352,09/18/2018,0.13,,0.0,r,-0,
353,09/19/2018,0.12,,0.0,r,0,
354,09/20/2018,0.13,,0.0,r,0,
355,09/21/2018,0.12,,0.0,r,0,
356,09/22/2018,0.11,,0.0,r,-0,
357,09/23/2018,0.13,,0.0,r,-0,
358,09/24/2018,0.13,,0.0,r,0,
359,09/25/2018,0.13,,0.0,r,-0,
360,09/26/2018,0.12,,0.0,r,-0,
361,09/27/2018,0.12,,0.0,r,-0,
362,09/28/2018,0.12,,0.0,r,0,
363,09/29/2018,0.13,,0.0,r,-0,
364,09/30/2018,0.14,,0.0,r,-0,
