, DATE / TIME (PST),SNOW WC INCHES,Unnamed: 2,SNO ADJ INCHES,Unnamed: 4,SNOW DP INCHES,Unnamed: 6,TEMP MN DEG F,Unnamed: 8,TEMP MX DEG F,Unnamed: 10,TEMP AV DEG F,Unnamed: 12
159,03/09/2017,--,,--,r,--,,--,,--,,--,
160,03/10/2017,--,,--,r,--,,--,,--,,--,
161,03/11/2017,--,,--,r,--,,--,,--,,--,
162,03/12/2017,--,,--,r,--,,--,,--,,--,
163,03/13/2017,--,,--,r,--,,--,,--,,--,
164,03/14/2017,--,,--,r,--,,--,,--,,--,
165,03/15/2017,--,,--,r,--,,--,,--,,--,
166,03/16/2017,--,,--,r,--,,--,,--,,--,
167,03/17/2017,--,,--,r,--,,--,,--,,--,
168,03/18/2017,--,,--,r,--,,--,,--,,--,
169,03/19/2017,--,,--,r,--,,--,,--,,--,
170,03/20/2017,--,,--,r,--,,--,,--,,--,
171,03/21/2017,--,,--,r,--,,--,,--,,--,
172,03/22/2017,--,,--,r,--,,--,,--,,--,
173,03/23/2017,--,,--,r,--,,--,,--,,--,
174,03/24/2017,--,,--,r,--,,--,,--,,--,
175,03/25/2017,--,,--,r,--,,--,,--,,--,
176,03/26/2017,--,,--,r,--,,--,,--,,--,
177,03/27/2017,--,,--,r,--,,--,,--,,--,
178,03/28/2017,--,,--,r,--,,--,,--,,--,
179,03/29/2017,--,,--,r,--,,--,,--,,--,
180,03/30/2017,--,,--,r,--,,--,,--,,--,
181,03/31/2017,--,,--,r,--,,--,,--,,--,
182,04/01/2017,--,,--,r,--,,--,,--,,--,
183,04/02/2017,--,,--,r,--,,--,,--,,--,
184,04/03/2017,--,,--,r,--,,--,,--,,--,
185,04/04/2017,--,,--,r,--,,--,,--,,--,
186,04/05/2017,--,,--,r,--,,--,,--,,--,
187,04/06/2017,--,,--,r,--,,--,,--,,--,
188,04/07/2017,--,,--,r,--,,--,,--,,--,
189,04/08/2017,--,,--,r,--,,--,,--,,--,
190,04/09/2017,--,,--,r,--,,--,,--,,--,
191,04/10/2017,--,,--,r,--,,--,,--,,--,
192,04/11/2017,--,,--,r,--,,--,,--,,--,
193,04/12/2017,--,,--,r,--,,--,,--,,--,
194,04/13/2017,--,,--,r,--,,--,,--,,--,
195,04/14/2017,--,,--,r,--,,--,,--,,--,
196,04/15/2017,--,,--,r,--,,--,,--,,--,
197,04/16/2017,--,,--,r,--,,--,,--,,--,
198,04/17/2017,--,,--,r,--,,--,,--,,--,
199,04/18/2017,--,,--,r,--,,--,,--,,--,
200,04/19/2017,--,,--,r,--,,--,,--,,--,
201,04/20/2017,--,,--,r,--,,--,,--,,--,
202,04/21/2017,--,,--,r,--,,--,,--,,--,
203,04/22/2017,--,,--,r,--,,--,,--,,--,
204,04/23/2017,--,,--,r,--,,--,,--,,--,
205,04/24/2017,--,,--,r,--,,--,,--,,--,
206,04/25/2017,--,,--,r,--,,--,,--,,--,
207,04/26/2017,--,,--,r,--,,--,,--,,--,
208,04/27/2017,--,,--,r,--,,--,,--,,--,
209,04/28/2017,--,,--,r,--,,--,,--,,--,
210,04/29/2017,--,,--,r,--,,--,,--,,--,
211,04/30/2017,--,,--,r,--,,--,,--,,--,
212,05/01/2017,--,,--,r,--,,--,,--,,--,
213,05/02/2017,--,,--,r,--,,--,,--,,--,
214,05/03/2017,--,,--,r,--,,--,,--,,--,
215,05/04/2017,--,,--,r,--,,--,,--,,--,
216,05/05/2017,--,,--,r,--,,--,,--,,--,
217,05/06/2017,--,,--,r,--,,--,,--,,--,
218,05/07/2017,--,,--,r,--,,--,,--,,--,
219,05/08/2017,--,,--,r,--,,--,,--,,--,
220,05/09/2017,--,,--,r,--,,--,,--,,--,
221,05/10/2017,--,,--,r,--,,--,,--,,--,
222,05/11/2017,--,,--,r,--,,--,,--,,--,
223,05/12/2017,--,,--,r,--,,--,,--,,--,
224,05/13/2017,--,,--,r,--,,--,,--,,--,
225,05/14/2017,--,,--,r,--,,--,,--,,--,
226,05/15/2017,--,,--,r,--,,--,,--,,--,
227,05/16/2017,--,,--,r,--,,--,,--,,--,
228,05/17/2017,--,,--,r,--,,--,,--,,--,
229,05/18/2017,--,,--,r,--,,--,,--,,--,
230,05/19/2017,--,,--,r,--,,--,,--,,--,
231,05/20/2017,--,,--,r,--,,--,,--,,--,
232,05/21/2017,--,,--,r,--,,--,,--,,--,
233,05/22/2017,--,,--,r,--,,--,,--,,--,
234,05/23/2017,--,,--,r,--,,--,,--,,--,
235,05/24/2017,--,,--,r,--,,--,,--,,--,
236,05/25/2017,--,,--,r,--,,--,,--,,--,
237,05/26/2017,--,,--,r,--,,--,,--,,--,
238,05/27/2017,--,,--,r,--,,--,,--,,--,
239,05/28/2017,--,,--,r,--,,--,,--,,--,
240,05/29/2017,--,,--,r,--,,--,,--,,--,
241,05/30/2017,--,,--,r,--,,--,,--,,--,
242,05/31/2017,--,,--,r,--,,--,,--,,--,
243,06/01/2017,--,,--,r,--,,--,,--,,--,
244,06/02/2017,--,,--,r,--,,--,,--,,--,
245,06/03/2017,--,,--,r,--,,--,,--,,--,
246,06/04/2017,--,,--,r,--,,--,,--,,--,
247,06/05/2017,--,,--,r,--,,--,,--,,--,
248,06/06/2017,--,,--,r,--,,--,,--,,--,
249,06/07/2017,--,,--,r,--,,--,,--,,--,
250,06/08/2017,--,,--,r,--,,--,,--,,--,
251,06/09/2017,--,,--,r,--,,--,,--,,--,
252,06/10/2017,--,,--,r,--,,--,,--,,--,
253,06/11/2017,--,,--,r,--,,--,,--,,--,
254,06/12/2017,--,,--,r,--,,--,,--,,--,
255,06/13/2017,--,,--,r,--,,--,,--,,--,
256,06/14/2017,--,,--,r,--,,--,,--,,--,
257,06/15/2017,--,,--,r,--,,--,,--,,--,
258,06/16/2017,--,,--,r,--,,--,,--,,--,
259,06/17/2017,--,,--,r,--,,--,,--,,--,
260,06/18/2017,--,,--,r,--,,--,,--,,--,
261,06/19/2017,--,,--,r,--,,--,,--,,--,
262,06/20/2017,--,,--,r,--,,--,,--,,--,
263,06/21/2017,--,,--,r,--,,--,,--,,--,
264,06/22/2017,--,,--,r,--,,--,,--,,--,
265,06/23/2017,--,,--,r,--,,--,,--,,--,
266,06/24/2017,--,,--,r,--,,--,,--,,--,
267,06/25/2017,--,,--,r,--,,--,,--,,--,
268,06/26/2017,--,,--,r,--,,--,,--,,--,
269,06/27/2017,--,,--,r,--,,--,,--,,--,
270,06/28/2017,--,,--,r,--,,--,,--,,--,
271,06/29/2017,--,,--,r,--,,--,,--,,--,
272,06/30/2017,--,,--,r,--,,--,,--,,--,
273,07/01/2017,--,,--,r,--,,--,,--,,--,
274,07/02/2017,--,,--,r,--,,--,,--,,--,
275,07/03/2017,--,,--,r,--,,--,,--,,--,
276,07/04/2017,--,,--,r,--,,--,,--,,--,
277,07/05/2017,--,,--,r,--,,--,,--,,--,
278,07/06/2017,--,,--,r,--,,--,,--,,--,
279,07/07/2017,--,,--,r,--,,--,,--,,--,
280,07/08/2017,--,,--,r,--,,--,,--,,--,
281,07/09/2017,--,,--,r,--,,--,,--,,--,
282,07/10/2017,--,,--,r,--,,--,,--,,--,
283,07/11/2017,--,,--,r,--,,--,,--,,--,
284,07/12/2017,--,,--,r,--,,--,,--,,--,
285,07/13/2017,--,,--,r,--,,--,,--,,--,
286,07/14/2017,--,,--,r,--,,--,,--,,--,
287,07/15/2017,--,,--,r,--,,--,,--,,--,
288,07/16/2017,--,,--,r,--,,--,,--,,--,
289,07/17/2017,--,,--,r,--,,--,,--,,--,
290,07/18/2017,--,,--,r,--,,--,,--,,--,
291,07/19/2017,--,,--,r,--,,--,,--,,--,
292,07/20/2017,--,,--,r,--,,--,,--,,--,
293,07/21/2017,--,,--,r,--,,--,,--,,--,
294,07/22/2017,--,,--,r,--,,--,,--,,--,
295,07/23/2017,--,,--,r,--,,--,,--,,--,
296,07/24/2017,--,,--,r,--,,--,,--,,--,
297,07/25/2017,--,,--,r,--,,--,,--,,--,
298,07/26/2017,--,,--,r,--,,--,,--,,--,
299,07/27/2017,--,,--,r,--,,--,,--,,--,
300,07/28/2017,--,,--,r,--,,--,,--,,--,
301,07/29/2017,--,,--,r,--,,--,,--,,--,
302,07/30/2017,--,,--,r,--,,--,,--,,--,
303,07/31/2017,--,,--,r,--,,--,,--,,--,
304,08/01/2017,--,,--,r,--,,--,,--,,--,
305,08/02/2017,--,,--,r,--,,--,,--,,--,
306,08/03/2017,--,,--,r,--,,--,,--,,--,
307,08/04/2017,--,,--,r,--,,--,,--,,--,
308,08/05/2017,--,,--,r,--,,--,,--,,--,
309,08/06/2017,--,,--,r,--,,--,,--,,--,
310,08/07/2017,--,,--,r,--,,--,,--,,--,
311,08/08/2017,--,,--,r,--,,--,,--,,--,
312,08/09/2017,--,,--,r,--,,--,,--,,--,
313,08/10/2017,--,,--,r,--,,--,,--,,--,
314,08/11/2017,--,,--,r,--,,--,,--,,--,
315,08/12/2017,--,,--,r,--,,--,,--,,--,
316,08/13/2017,--,,--,r,--,,--,,--,,--,
317,08/14/2017,--,,--,r,--,,--,,--,,--,
318,08/15/2017,--,,--,r,--,,--,,--,,--,
319,08/16/2017,--,,--,r,--,,--,,--,,--,
320,08/17/2017,--,,--,r,--,,--,,--,,--,
321,08/18/2017,--,,--,r,--,,--,,--,,--,
322,08/19/2017,--,,--,r,--,,--,,--,,--,
323,08/20/2017,--,,--,r,--,,--,,--,,--,
324,08/21/2017,--,,--,r,--,,--,,--,,--,
325,08/22/2017,--,,--,r,--,,--,,--,,--,
326,08/23/2017,--,,--,r,--,,--,,--,,--,
327,08/24/2017,--,,--,r,--,,--,,--,,--,
328,08/25/2017,--,,--,r,--,,--,,--,,--,
329,08/26/2017,--,,--,r,--,,--,,--,,--,
330,08/27/2017,--,,--,r,--,,--,,--,,--,
331,08/28/2017,--,,--,r,--,,--,,--,,--,
332,08/29/2017,--,,--,r,--,,--,,--,,--,
333,08/30/2017,--,,--,r,--,,--,,--,,--,
334,08/31/2017,--,,--,r,--,,--,,--,,--,
335,09/01/2017,--,,--,r,--,,--,,--,,--,
336,09/02/2017,--,,--,r,--,,--,,--,,--,
337,09/03/2017,--,,--,r,--,,--,,--,,--,
338,09/04/2017,--,,--,r,--,,--,,--,,--,
339,09/05/2017,--,,--,r,--,,--,,--,,--,
340,09/06/2017,--,,--,r,--,,--,,--,,--,
341,09/07/2017,--,,--,r,--,,--,,--,,--,
342,09/08/2017,--,,--,r,--,,--,,--,,--,
343,09/09/2017,--,,--,r,--,,--,,--,,--,
344,09/10/2017,--,,--,r,--,,--,,--,,--,
345,09/11/2017,--,,--,r,--,,--,,--,,--,
346,09/12/2017,--,,--,r,--,,--,,--,,--,
347,09/13/2017,--,,--,r,--,,--,,--,,--,
348,09/14/2017,--,,--,r,--,,--,,--,,--,
349,09/15/2017,--,,--,r,--,,--,,--,,--,
350,09/16/2017,--,,--,r,--,,--,,--,,--,
351,09/17/2017,--,,--,r,--,,--,,--,,--,
352,09/18/2017,--,,--,r,--,,--,,--,,--,
353,09/19/2017,--,,--,r,--,,--,,--,,--,
354,09/20/2017,--,,--,r,--,,--,,--,,--,
355,09/21/2017,--,,--,r,--,,--,,--,,--,
356,09/22/2017,--,,--,r,--,,--,,--,,--,
357,09/23/2017,--,,--,r,--,,--,,--,,--,
358,09/24/2017,--,,--,r,--,,--,,--,,--,
359,09/25/2017,--,,--,r,--,,--,,--,,--,
360,09/26/2017,--,,--,r,--,,--,,--,,--,
361,09/27/2017,--,,--,r,--,,--,,--,,--,
362,09/28/2017,--,,--,r,--,,--,,--,,--,
363,09/29/2017,--,,--,r,--,,--,,--,,--,
364,09/30/2017,--,,--,r,--,,--,,--,,--,
